radius [r/R200c],M200c [Msun],z,Q_dm,S_dm,Q_gas,S_gas
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[[0.87326215 0.90917503 0.92867816 ... 0.90337223 0.62193484 0.78047459]
 [0.92610996 0.84669487 0.88360961 ... 0.4579169  0.78330524 0.92637414]
 [0.93289888 0.89677972 0.96290182 ... 0.38895134 0.33895543 0.5059314 ]
 ...
 [0.97152376 0.94437548 0.9642913  ... 0.61771498 0.72602414 0.59011081]
 [0.86246751 0.82687882 0.83619376 ... 0.57443971 0.89027592 0.51848286]
 [0.92537797 0.92426756 0.88886009 ... 0.31831178 0.6257774  0.51936929]]","[[0.84856767 0.8877961  0.90105612 ... 0.46316645 0.26766405 0.31195844]
 [0.86075253 0.8056643  0.82805158 ... 0.21286321 0.60038844 0.70489191]
 [0.8082034  0.81774088 0.77958671 ... 0.1826039  0.19771523 0.26732051]
 ...
 [0.90063608 0.83260492 0.83931143 ... 0.39770134 0.31281288 0.25506848]
 [0.79074163 0.79558861 0.78256391 ... 0.37836939 0.48148168 0.20253444]
 [0.91853397 0.89340559 0.85598536 ... 0.28400969 0.58310902 0.32946172]]","[[0.92972832 0.9302037  0.94989846 ... 0.84584488 0.81918408 0.56450593]
 [0.98274105 0.98979392 0.96221845 ... 0.22965935 0.70483677 0.83904197]
 [0.97023166 0.9588125  0.99061189 ... 0.44629271 0.57132181 0.42703864]
 ...
 [0.87696274 0.73021605 0.69690961 ... 0.83177298 0.77809336 0.62246818]
 [0.89120215 0.90553377 0.92039944 ... 0.81173525 0.89901816 0.81789323]
 [0.4315607  0.86290921 0.84207225 ... 0.62170078 0.7293901  0.77285954]]","[[0.92696857 0.90876254 0.90865614 ... 0.47323127 0.43266464 0.28507555]
 [0.95848276 0.97272864 0.90353062 ... 0.14177635 0.54701897 0.61846482]
 [0.96611153 0.91787021 0.90278032 ... 0.309013   0.34491959 0.26572612]
 ...
 [0.60345214 0.27830417 0.46855192 ... 0.71531468 0.51532377 0.55854704]
 [0.50977261 0.70621353 0.54170846 ... 0.61082871 0.51124295 0.27594622]
 [0.28268079 0.37464292 0.47066374 ... 0.50761877 0.60349016 0.50820758]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4.]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5]","[[0.81701241 0.74606414 0.52256135 ... 0.24118217 0.311434   0.25404338]
 [0.76331597 0.4830735  0.71105059 ... 0.36628971 0.09331412 0.19032221]
 [0.83141853 0.7842953  0.51958403 ... 0.16702138 0.04897776 0.05780351]
 ...
 [0.38541132 0.35966438 0.25224844 ... 0.20745546 0.25226355 0.29307447]
 [0.42276922 0.51941867 0.74215483 ... 0.67789769 0.3915578  0.27726408]
 [0.32798801 0.22177775 0.34373801 ... 0.0355983  0.04472073 0.02485148]]","[[0.55089798 0.2787129  0.30975581 ... 0.187283   0.17607612 0.12800612]
 [0.65273474 0.29659953 0.27129729 ... 0.27194267 0.04065714 0.15227091]
 [0.61637051 0.244345   0.2348396  ... 0.08346526 0.04497778 0.04867854]
 ...
 [0.16123926 0.21600564 0.15606183 ... 0.07748567 0.10204185 0.08242961]
 [0.25914816 0.2690575  0.41017743 ... 0.33052156 0.17605785 0.17668597]
 [0.21108397 0.17026582 0.15529204 ... 0.01655472 0.02756777 0.00849808]]","[[9.15737560e-01 8.43745515e-01 8.91854221e-01 ... 1.15423250e-01
  6.11148350e-02 4.31196231e-02]
 [9.29470662e-01 6.63238581e-01 8.41817178e-01 ... 4.42760974e-01
  5.14193046e-01 2.53811593e-01]
 [8.22312605e-01 8.61184299e-01 8.79934897e-01 ... 3.66360019e-01
  2.83027155e-01 8.95009657e-02]
 ...
 [3.82596580e-10 1.79047412e-01 2.36113631e-01 ... 6.32651186e-01
  7.02943866e-01 2.31742239e-01]
 [1.75729997e-01 3.13299050e-01 3.76655563e-01 ... 6.89506300e-01
  6.38550561e-01 6.78091501e-01]
 [1.72876439e-01 2.62209218e-01 3.83147469e-01 ... 8.06092382e-01
  4.64584428e-01 1.72391674e-01]]","[[0.8157948  0.52224549 0.73634042 ... 0.10805577 0.04490399 0.0303812 ]
 [0.84666832 0.30621888 0.50847211 ... 0.33118311 0.28908942 0.13278117]
 [0.61642372 0.66316773 0.7324005  ... 0.27226349 0.15707465 0.06102111]
 ...
 [0.00105167 0.02571416 0.05896009 ... 0.36037245 0.38257119 0.09103479]
 [0.03827966 0.05319212 0.07959621 ... 0.38355355 0.54715346 0.25895877]
 [0.04195533 0.09561299 0.07581463 ... 0.54054235 0.30698419 0.1074747 ]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4.]","[1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03
 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03]","[[0.77547542 0.6785647  0.70977644 ... 0.05727131 0.05771167 0.08106629]
 [0.59833733 0.44789942 0.49208113 ... 0.7384609  0.56352086 0.00442645]
 [0.79457107 0.94329084 0.33667537 ... 0.45363818 0.08989657 0.0121356 ]
 ...
 [0.35248937 0.26572056 0.27957787 ... 0.07803234 0.12969113 0.12228252]
 [0.5795913  0.59566705 0.6913723  ... 0.25020366 0.03483363 0.02508854]
 [0.32641876 0.36671819 0.52453483 ... 0.07677869 0.07511959 0.11121396]]","[[0.60772422 0.35300264 0.58629703 ... 0.04055043 0.04024292 0.05893348]
 [0.41638782 0.29163822 0.23084391 ... 0.21793351 0.33624357 0.00286009]
 [0.63873455 0.74321774 0.19051562 ... 0.33173622 0.05214154 0.00900179]
 ...
 [0.11761471 0.14798402 0.15715845 ... 0.00863411 0.01412712 0.01976457]
 [0.32464776 0.33936357 0.41014183 ... 0.17589471 0.00949593 0.01505295]
 [0.23562042 0.23367987 0.29203125 ... 0.05071459 0.06290124 0.05207492]]","[[8.33162987e-01 7.80490192e-01 7.47682461e-01 ... 6.89747021e-02
  9.34828433e-02 1.00097768e-01]
 [7.80867444e-01 4.44487661e-01 3.37092033e-01 ... 6.42252464e-01
  4.52521963e-01 2.33160865e-01]
 [8.71935336e-01 9.23709745e-01 9.81325488e-01 ... 8.88005777e-02
  7.99118557e-02 1.07408626e-01]
 ...
 [7.39600715e-01 0.00000000e+00 5.85613257e-12 ... 4.46803403e-01
  4.97981851e-01 5.60278526e-01]
 [3.43062566e-01 1.46359838e-01 2.75105216e-01 ... 2.41113355e-01
  2.47406156e-01 4.23955802e-01]
 [2.47491288e-01 1.13793810e-01 7.17754689e-02 ... 1.80918461e-01
  3.12774052e-01 1.19297812e-01]]","[[6.01759041e-01 3.81088498e-01 5.64666417e-01 ... 6.47632979e-02
  4.68216571e-02 4.89905772e-02]
 [7.10059556e-01 2.99909251e-01 1.88880749e-01 ... 3.09767449e-01
  1.49672053e-01 3.11829978e-02]
 [8.02629100e-01 7.80769661e-01 8.86616746e-01 ... 6.79667924e-02
  4.14446725e-02 3.81786756e-02]
 ...
 [6.72046527e-01 0.00000000e+00 4.46668785e-04 ... 2.31300527e-01
  3.10953220e-01 3.83440281e-01]
 [1.74032296e-01 5.98657558e-02 1.66152886e-01 ... 1.26135935e-01
  1.82693959e-01 3.02923965e-01]
 [1.23615869e-04 1.42998540e-04 2.98580630e-03 ... 1.66463494e-01
  1.90911387e-01 4.73628245e-02]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7.
 7.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[[0.87414936 0.81959978 0.80373277 ... 0.51447313 0.9561579  0.63823563]
 [0.84486432 0.77984522 0.81056349 ... 0.67637921 0.8808028  0.66610528]
 [0.85529496 0.89122829 0.64092924 ... 0.61295515 0.69248041 0.51001369]
 ...
 [0.98074616 0.97680194 0.97680815 ... 0.53138564 0.49854817 0.44299835]
 [0.8764056  0.89207486 0.82671815 ... 0.3477611  0.44570239 0.49611773]
 [0.93201844 0.96520399 0.89703555 ... 0.62499417 0.54535259 0.38775548]]","[[0.85087537 0.71554241 0.71288248 ... 0.33964383 0.52496754 0.34380858]
 [0.78674155 0.73362139 0.78999549 ... 0.51161281 0.72055651 0.49770225]
 [0.77201455 0.73830465 0.61869677 ... 0.34762947 0.40412309 0.34880924]
 ...
 [0.96692064 0.90646019 0.93122459 ... 0.43237655 0.35811177 0.43256721]
 [0.83404472 0.8450862  0.77345705 ... 0.31359259 0.34729588 0.37815876]
 [0.90561095 0.90472943 0.87755048 ... 0.45066816 0.46343806 0.31491285]]","[[0.98814977 0.95130838 0.93288237 ... 0.63468587 0.80480159 0.71710163]
 [0.96540908 0.8715735  0.9782118  ... 0.78030041 0.84008313 0.76209594]
 [0.91318101 0.89325905 0.81611275 ... 0.4705468  0.52504662 0.63035522]
 ...
 [0.66830258 0.681251   0.85807208 ... 0.63787737 0.56881706 0.57666076]
 [0.93387452 0.72013153 0.95161108 ... 0.74498828 0.69935034 0.81767304]
 [0.94401958 0.87176453 0.87782307 ... 0.53950827 0.84479895 0.53658291]]","[[0.93300841 0.8695148  0.84704792 ... 0.44701178 0.44311098 0.33050343]
 [0.90012329 0.85471987 0.8463494  ... 0.66584061 0.71376669 0.66066994]
 [0.85557459 0.84760651 0.77346001 ... 0.37776597 0.34992507 0.46279763]
 ...
 [0.65914175 0.66518165 0.71524523 ... 0.6211152  0.52002771 0.52550663]
 [0.83695486 0.67409972 0.7788243  ... 0.61858708 0.59126654 0.6827438 ]
 [0.87870158 0.86680908 0.86204719 ... 0.47811545 0.62018038 0.3762545 ]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7.
 7.]","[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5]","[[0.74126775 0.3324989  0.3492169  ... 0.69243122 0.38379039 0.01316472]
 [0.92530972 0.83837186 0.86611444 ... 0.41433167 0.14142177 0.01969462]
 [0.81942857 0.71220863 0.7454108  ... 0.32877062 0.36284016 0.18696201]
 ...
 [0.39069147 0.4222406  0.24889071 ... 0.51449248 0.40813725 0.06133013]
 [0.21318084 0.25823585 0.29189621 ... 0.80157783 0.27367273 0.001268  ]
 [0.24951905 0.35962194 0.3723055  ... 0.22184301 0.26457451 0.30288175]]","[[0.67738825 0.24246192 0.18950682 ... 0.38158794 0.17151899 0.01079831]
 [0.68673311 0.45739585 0.63524369 ... 0.1759825  0.08407901 0.00793578]
 [0.50808816 0.45788642 0.54173354 ... 0.26077911 0.2962918  0.09885269]
 ...
 [0.2335475  0.27691026 0.1484616  ... 0.26685431 0.35462437 0.02036864]
 [0.1278712  0.23464161 0.1923824  ... 0.40436285 0.19304226 0.00091044]
 [0.07927082 0.15350649 0.20889754 ... 0.11914248 0.19757281 0.223243  ]]","[[0.60218125 0.72218814 0.75051625 ... 0.65242754 0.42190805 0.17418728]
 [0.82694016 0.88376677 0.95260272 ... 0.07789275 0.09464526 0.10127005]
 [0.86856019 0.90632023 0.84863734 ... 0.37899712 0.30362243 0.15365914]
 ...
 [0.16855351 0.07844873 0.12390212 ... 0.52693456 0.42827095 0.06839758]
 [0.31688821 0.20775821 0.41460657 ... 0.18663334 0.12967048 0.13441809]
 [0.1591016  0.36617005 0.25848669 ... 0.55627436 0.69087623 0.68633076]]","[[0.47471511 0.44463406 0.51806787 ... 0.56502416 0.36480734 0.12190207]
 [0.73074491 0.75429306 0.92436012 ... 0.03524963 0.04102398 0.04540774]
 [0.73896382 0.66989751 0.76133853 ... 0.32641521 0.20812355 0.09625601]
 ...
 [0.00778296 0.03233927 0.03422265 ... 0.2759338  0.30599604 0.04935358]
 [0.07927821 0.08907939 0.08548716 ... 0.15058216 0.07107043 0.09540984]
 [0.02155163 0.1645558  0.08886702 ... 0.43567286 0.42069022 0.5446322 ]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7. 7.
 7.]","[1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03
 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03 1.03]","[[0.68522076 0.33342436 0.61665637 ... 0.59017394 0.24777417 0.24866267]
 [0.67872355 0.66539486 0.74281758 ... 0.67482787 0.0072735  0.00968631]
 [0.70902325 0.56929777 0.56317358 ... 0.37508531 0.29043165 0.3703979 ]
 ...
 [0.26483227 0.37000157 0.49977117 ... 0.15409345 0.02427596 0.2249972 ]
 [0.2536011  0.40729557 0.40650082 ... 0.64478782 0.06800442 0.02282753]
 [0.31267351 0.57261056 0.41154295 ... 0.08740226 0.11436135 0.12887702]]","[[0.48859464 0.25754635 0.41310154 ... 0.48367155 0.13036332 0.16658425]
 [0.44218298 0.51160087 0.53215594 ... 0.32510284 0.00577989 0.00770617]
 [0.53953272 0.39866619 0.50362203 ... 0.12524513 0.10766489 0.14051486]
 ...
 [0.1931733  0.222083   0.30883362 ... 0.12362471 0.00970737 0.07613791]
 [0.16045557 0.25808183 0.2939956  ... 0.45965417 0.05216054 0.0026723 ]
 [0.17415627 0.34726565 0.28602254 ... 0.02580776 0.03738318 0.07766159]]","[[0.82912025 0.75376918 0.67473185 ... 0.55957742 0.26463266 0.18437352]
 [0.57452289 0.78978971 0.74767924 ... 0.4839257  0.7668618  0.66396247]
 [0.47513933 0.33022798 0.4085433  ... 0.45628209 0.46729104 0.60444912]
 ...
 [0.10640669 0.14576546 0.38409939 ... 0.12649811 0.00590571 0.00986148]
 [0.31959232 0.337013   0.16818494 ... 0.63300749 0.15795066 0.09669076]
 [0.34829599 0.34829599 0.34829599 ... 0.24819831 0.1482847  0.04264823]]","[[5.97905173e-01 4.18333382e-01 4.68801978e-01 ... 3.50452678e-01
  1.72364159e-01 1.23230840e-01]
 [3.40915054e-01 4.12643116e-01 4.87040130e-01 ... 2.77332097e-01
  2.56724868e-01 3.39652478e-01]
 [1.85950991e-01 1.56169983e-01 1.67668070e-01 ... 9.46635812e-02
  1.49957116e-01 1.83129595e-01]
 ...
 [1.26052672e-26 7.11890298e-03 5.31923582e-04 ... 4.33922171e-02
  5.02122594e-03 8.03622519e-03]
 [3.05533608e-02 5.97240122e-02 3.30255130e-02 ... 2.96587573e-01
  3.41883873e-02 1.51058157e-03]
 [7.32435259e-02 7.32435259e-02 7.32435259e-02 ... 7.49191167e-02
  6.67794776e-02 2.78435501e-02]]"
"[0.05482391 0.06591284 0.07924466 0.09527304 0.11454338 0.13771144
 0.16556556 0.19905359 0.23931505 0.28771997 0.34591549 0.41588189
 0.5        0.60113222 0.72271989 0.86890041 1.04464807 1.25594322
 1.50997586 1.81539027 2.18257916 2.6240373  3.15478672 3.79288788
 4.5600542 ]","[10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10.
 10. 10. 10. 10. 10. 10. 10.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[[0.80950727 0.87505766 0.89149949 ... 0.4901304  0.56038008 0.72830158]
 [0.89312828 0.92014051 0.76466484 ... 0.91899438 0.66582514 0.54542394]
 [0.9167824  0.87992211 0.87457622 ... 0.87126524 0.63263326 0.68818691]
 ...
 [0.95489704 0.92019163 0.92020644 ... 0.63508753 0.81942914 0.86266919]
 [0.91712787 0.83123463 0.72263103 ... 0.46657897 0.28704219 0.68605146]
 [0.83857365 0.81593617 0.89838977 ... 0.74803747 0.29189313 0.3280159 ]]","[[0.78429939 0.81687234 0.81063835 ... 0.21275391 0.32066712 0.52922531]
 [0.87328188 0.79501383 0.73407162 ... 0.4375021  0.55226818 0.44895749]
 [0.78632617 0.71172978 0.71060177 ... 0.49017065 0.4548033  0.5162455 ]
 ...
 [0.89241762 0.85817434 0.86472434 ... 0.62725155 0.48480388 0.40050656]
 [0.85769865 0.77461057 0.66834639 ... 0.3822986  0.20902286 0.36813749]
 [0.75988253 0.79649362 0.83849979 ... 0.45813527 0.19589991 0.30440393]]","[[0.96223807 0.94780359 0.95299099 ... 0.5211944  0.67665377 0.92376718]
 [0.9727573  0.96750021 0.93262495 ... 0.77287829 0.87173016 0.69433755]
 [0.95839469 0.99083382 0.98057436 ... 0.84474383 0.67226378 0.69680704]
 ...
 [0.94188104 0.86392779 0.74728039 ... 0.72494777 0.86660075 0.88118053]
 [0.98105144 0.9381572  0.93022777 ... 0.65699385 0.74747873 0.65509899]
 [0.69471525 0.96440376 0.96735996 ... 0.49428471 0.61090582 0.51386505]]","[[0.92666698 0.92470431 0.94068092 ... 0.34083125 0.34006954 0.59633557]
 [0.95003832 0.93263657 0.91374392 ... 0.57268661 0.52520719 0.4575684 ]
 [0.9264845  0.91952501 0.90014028 ... 0.50565946 0.44182535 0.52792469]
 ...
 [0.85438582 0.79993215 0.58379071 ... 0.71696258 0.71890623 0.59194135]
 [0.78138807 0.71200741 0.74305184 ... 0.59159545 0.56363594 0.54592452]
 [0.52865424 0.76370866 0.76698338 ... 0.47057014 0.48180345 0.37477841]]"
